episode,length,total_reward,exploration
0,120,-214.0569754849355,1.0
1,119,-174.96468571877529,0.9950248756218907
2,101,-370.44441222993333,0.990074503106359
3,67,-86.63463347681676,0.98514875930981
4,153,-129.9927321435551,0.9802475217013037
5,107,-305.42219814326677,0.9753706683595063
6,135,-184.2208947189249,0.970518077969658
7,75,-108.15548622048185,0.9656896298205554
8,85,-56.52416801313558,0.9608852038015477
9,742,16.777956679951046,0.9561046803995501
10,105,-279.6626335136799,0.9513479406960699
11,89,-363.43886125960904,0.9466148663642487
12,81,-165.45709477904222,0.9419053396659193
13,71,-177.3203571503434,0.937219243448676
14,115,-201.73448309805502,0.9325564611429613
15,65,-343.04472910402865,0.9279168767591656
16,88,-378.49389575625827,0.9233003748847419
17,86,-342.1672912769324,0.9187068406813353
18,103,-124.79019219132695,0.9141361598819259
19,85,-120.88930346655901,0.909588218787986
20,76,-91.78324560708394,0.9050629042666528
21,99,-499.24839369103813,0.9005601037479133
22,129,-101.58121758998526,0.8960797052218044
23,90,-282.422792027082,0.8916215972356263
24,103,-186.13444952379106,0.8871856688911706
25,141,-345.3990165178481,0.8827718098419609
26,91,-278.652154344353,0.8783799102905084
27,96,-100.80339734319855,0.8740098609855806
28,73,-127.3964230908336,0.8696615532194834
29,116,-596.6589549352434,0.8653348788253566
30,77,-521.5540932273747,0.8610297301744844
31,89,-60.85719968003889,0.8567460001736164
32,70,-158.14645553796421,0.8524835822623049
33,136,-374.4406693396614,0.8482423704102537
34,74,-71.52569801684332,0.8440222591146804
35,147,-95.41533088078447,0.839823143397692
36,101,-455.53381311967695,0.8356449188036738
37,92,-223.8984471493358,0.8314874813966904
38,84,-109.5993339859332,0.827350727757901
39,118,-251.08924113064694,0.8232345549829861
40,67,-252.93154988963528,0.8191388606795883
41,80,-77.98977065850175,0.8150635429647646
42,98,-318.1958076703095,0.8110085004624524
43,116,-318.7761234027288,0.8069736323009478
44,74,-64.25561186984933,0.8029588381103959
45,98,-260.6795353958024,0.7989640180202945
46,97,-488.89909443176384,0.7949890726570096
47,94,-275.78389876228084,0.7910339031413032
48,98,-432.4013592667343,0.7870984110858739
49,75,-8.927191215821153,0.7831824985929094
50,83,-123.75535991968565,0.7792860682516513
51,169,-53.15178155216277,0.7754090231359715
52,178,-216.01407556541278,0.7715512668019617
53,89,-42.086088152730966,0.7677127032855341
54,92,-414.3079439889181,0.763893237100034
55,169,-107.26729533921151,0.7600927732338647
56,159,-362.76140343109876,0.7563112171481242
57,155,-399.64235866669037,0.752548474774253
58,135,-225.79142965583705,0.7488044525116946
59,119,-111.90335697250403,0.7450790572255668
60,98,-427.8471739790015,0.7413721962443451
61,123,-141.312512152941,0.7376837773575574
62,154,-458.81494342879597,0.73401370881349
63,88,-315.78450110982374,0.7303618993169055
64,172,-303.78336076295125,0.7267282580267718
65,94,-370.93985836167036,0.7231126945540018
66,97,-390.7967568628448,0.719515118959206
67,100,-166.7194955105166,0.7159354417504538
68,75,-34.49550262560933,0.7123735738810486
69,181,-401.0754223038216,0.7088294267473121
70,83,-450.52399794522813,0.7053029121863803
71,119,-189.333085053945,0.7017939424740103
72,154,-122.7248047493184,0.6983024303223984
73,100,-432.560430820187,0.6948282888780084
74,89,-449.5222736559706,0.6913714317194114
75,122,-520.0036948825068,0.6879317728551358
76,201,-296.3313088457067,0.6845092267215283
77,134,-332.6933902840199,0.6811037081806252
78,134,-262.5575951140154,0.6777151325180351
79,120,-281.3715059939899,0.674343415440831
80,134,-354.8536307175455,0.6709884730754538
81,172,-333.2596409591733,0.6676502219656257
82,88,-413.29052488974986,0.6643285790702744
83,156,-418.2228269831777,0.6610234617614672
84,123,-128.81107751534864,0.6577347878223555
85,108,-169.6017072071227,0.6544624754451299
86,129,-454.5536249758472,0.651206443228985
87,99,-37.62442665695123,0.6479666101780946
88,166,-232.72031206908645,0.6447428956995968
89,121,-198.89561460362114,0.6415352196015889
90,113,-4.1636797511758346,0.6383435020911333
91,104,-57.395705437096154,0.6351676637722721
92,180,-98.18926484860832,0.6320076256440519
93,84,-386.07259789061567,0.6288633090985591
94,168,-67.84526586539857,0.6257346359189644
95,78,-347.5310821588309,0.6226215282775766
96,181,-619.2866353384467,0.6195239087339071
97,110,-106.50402404335392,0.6164417002327434
98,101,-392.03864010152455,0.6133748261022323
99,95,-140.4975689965254,0.6103232100519724
100,84,-453.39052864406256,0.6072867761711169
101,83,-379.6760797586154,0.6042654489264846
102,249,-399.2528261883718,0.6012591531606812
103,158,-223.2096680019012,0.5982678140902301
104,161,-323.5027643403143,0.5952913573037116
105,101,-333.085646588581,0.5923297087599121
106,101,-202.09410709929057,0.5893827947859822
107,175,-413.22756687108614,0.5864505420756042
108,182,-50.32867535001577,0.5835328776871684
109,98,-324.67802879959277,0.5806297290419588
110,137,-312.3042148106651,0.577741023922347
111,145,-415.0733784850241,0.5748666904699972
112,86,-388.3927918618902,0.5720066571840768
113,83,-412.2330897249197,0.5691608529194795
114,147,-239.67492909371572,0.5663292068850543
115,490,-751.9689570313707,0.5635116486418451
116,83,-284.7209194555219,0.5607081081013385
117,104,-560.4397246357357,0.55791851552372
118,223,-526.9574229731699,0.5551428015161394
119,178,-245.516519806638,0.5523808970309845
120,108,-401.3326470807684,0.5496327333641637
121,118,-281.7644443725662,0.5468982421533968
122,101,-404.6613742593846,0.5441773553765142
123,183,-603.6336051053452,0.5414700053497654
124,515,-707.0099107104628,0.5387761247261348
125,118,-315.7305645951318,0.5360956464936665
126,271,-872.2833461454309,0.5334285039737976
127,221,-549.9944158275897,0.5307746308196991
128,183,-520.7468107777331,0.5281339610146261
129,137,-294.9808722321162,0.5255064288702748
130,98,-243.2132561762034,0.5228919690251491
131,144,-589.6949640045411,0.5202905164429344
132,80,-423.60320351015724,0.5177020064108802
133,126,-580.6979968945384,0.5151263745381892
134,78,-410.82984786153196,0.5125635567544172
135,149,-539.407988240885,0.5100134893078779
136,102,-520.6200057370368,0.5074761087640577
137,124,-317.1450275228507,0.5049513520040375
138,111,-397.6679354732124,0.5024391562229229
139,208,-478.1554096120933,0.49993945892828157
140,127,-335.549880343936,0.4974521979385887
141,88,-332.38550141340113,0.49497731138168033
142,230,-591.2019533062751,0.4925147376932143
143,179,-609.2111298680325,0.49006441561513864
144,79,-410.5391442794834,0.48762628419416787
145,116,-596.2888375028439,0.4852002827802666
146,108,-547.535626765409,0.48278635102514095
147,160,-550.0003007731068,0.4803844288807373
148,114,-495.52206660614115,0.4779944565977486
149,87,-430.5232155062521,0.475616374724128
150,141,6.615870057752971,0.47325012410361
151,83,-306.1755712429474,0.4708956458742389
152,125,-303.445071623186,0.4685528814669044
153,126,-512.6022280308775,0.46622177260388503
154,113,-592.8158393756225,0.4639022612973981
155,93,-355.2292113133693,0.46159428984815737
156,87,-382.1598711838407,0.45929780084393773
157,75,-495.7069595405997,0.45701273715814705
158,121,-409.73118544568206,0.4547390419484051
159,126,-86.85774716297637,0.4524766586551295
160,163,-479.43669258021174,0.4502255310001289
161,91,-145.90180506096974,0.44798560298520296
162,108,-476.27903289384835,0.44575681889074925
163,93,-590.0751005199694,0.4435391232743774
164,98,-476.4156546961849,0.44133246096952977
165,172,-585.1844682619355,0.43913677708410925
166,107,-454.27064485603813,0.43695201699911373
167,86,-334.34236912360655,0.4347781263672774
168,100,-548.6601191650709,0.4326150511117189
169,93,-419.3218175620177,0.43046273742459595
170,77,-369.16407179308055,0.42832113176576714
171,73,-421.93374566014023,0.4261901808614599
172,101,-404.82829099196516,0.4240698317029452
173,85,-506.2674929891923,0.42196003154521916
174,130,-54.28906518270152,0.41986072790569073
175,69,-398.6580202943314,0.4177718685628764
176,80,-424.60762745157245,0.4156934015551009
177,67,-387.1158239397486,0.41362527517920494
178,105,-58.458095759116716,0.4115674379892587
179,86,-425.0331710632791,0.40951983879528236
180,67,-313.30460246335684,0.40748242666197254
181,95,-559.7179543018232,0.4054551509074354
182,85,-441.208258923986,0.4034379611019258
183,70,-443.59650296158117,0.4014308070665929
184,86,-572.7197861117711,0.39943363887223177
185,89,-366.3462061012958,0.3974464068380416
186,107,-517.7047526988986,0.3954690615303897
187,85,-369.94424893765597,0.3935015537615818
188,95,-533.5466169808703,0.3915438345886387
189,77,-464.53363376621826,0.3895958553120783
190,78,-350.0383236234636,0.3876575674747048
191,109,-781.2241665910163,0.38572892286040283
192,58,-326.8752185754297,0.38380987349293816
193,88,-566.7128203040501,0.38190037163476437
194,65,-347.918719699956,0.38000036978583523
195,121,-339.5978381104848,0.37810982068242316
196,122,-367.78711168453293,0.3762286772959435
197,147,-191.755284359281,0.37435689283178464
198,63,-193.98877284755574,0.372494420728144
199,89,-529.9838693202835,0.37064121465486966
200,57,-341.32690606947887,0.3687972285123082
201,113,-285.59059963560696,0.3669624164301574
202,83,-446.96229790895126,0.36513673276632586
203,80,-484.3844537049555,0.3633201321057969
204,82,-504.10709393033676,0.36151256925949943
205,89,-783.8844692760456,0.35971399926318354
206,59,-361.8009750816417,0.35792437737630206
207,59,-221.18527012414611,0.3561436590808976
208,90,-293.32508822507185,0.3543718000804952
209,66,-290.13899340597504,0.35260875629900024
210,93,-577.7726388331278,0.3508544838796023
211,93,-855.6917764187101,0.3491089391836839
212,86,-564.00744922683,0.34737207878973525
213,62,-431.19882989640354,0.34564385949227394
214,98,-249.4712217288241,0.3439242383007701
215,121,-190.5204174640984,0.3422131724385773
216,63,-472.21981886380195,0.340510619341868
217,93,-503.95783480059697,0.33881653665857514
218,82,-518.8779859757348,0.3371308822473385
219,68,-433.6300036962072,0.33545361417645625
220,75,-426.63173100850076,0.33378469072284206
221,106,-244.48871733433296,0.3321240703709872
222,61,-298.84134276603197,0.3304717118119276
223,66,-392.4899739673423,0.3288275739422165
224,87,-629.6297981947212,0.327191615862902
225,83,-517.5691118674188,0.3255637968785095
226,106,-145.6686637105895,0.3239440764960294
227,57,-214.09781949214286,0.3223324144239099
228,107,-181.7628206560753,0.3207287705710547
229,83,-464.69494029575844,0.3191331050458256
230,112,-196.36735644933526,0.31754537815505035
231,115,-172.11369920945327,0.3159655504030352
232,85,-469.0125597647699,0.3143935824905823
233,72,-456.3753901753733,0.31282943531401225
234,55,-244.78349395378922,0.31127306996419135
235,56,-289.36926537521623,0.30972444772556357
236,68,-399.8168487327742,0.3081835300751877
237,63,-437.69901529307145,0.3066502786817788
238,65,-435.7156889647031,0.30512465540475503
239,86,-471.62786262174313,0.3036066222932886
240,73,-604.2899316836979,0.30209614158536185
241,64,-473.03070928477666,0.30059317570682775
242,61,-466.4717804298346,0.2990976872704754
243,80,-644.4430819154655,0.29760963907509996
244,60,-375.9207451374613,0.2961289941045771
245,65,-313.96831142567305,0.2946557155269424
246,73,-422.0764931753528,0.2931897666934751
247,63,-274.78015805045436,0.29173111113778616
248,94,-373.018561912217,0.29027971257491164
249,50,-329.4720931743471,0.28883553490040964
250,68,-505.91833121198215,0.28739854218946237
251,62,-468.7575774890495,0.2859686986959825
252,53,-366.9842635548129,0.28454596885172395
253,76,-600.4483050223193,0.283130317265397
254,59,-440.3398866661382,0.2817217087217881
255,63,-422.67499010909546,0.2803201081808837
256,62,-278.21215609238817,0.27892548077699875
257,66,-359.34487572995016,0.2775377918179092
258,84,-484.68595466037397,0.2761570067839893
259,58,-407.3838094647879,0.27478309132735257
260,70,-407.44776585080325,0.2734160112709976
261,70,-504.8625873134846,0.27205573260795785
262,78,-603.6488629327268,0.2707022215004556
263,70,-291.58935099585517,0.26935544427906033
264,91,-700.0506431646917,0.2680153674418511
265,76,-531.6554779939413,0.2666819576535832
266,88,-557.5013062461935,0.26535518174485895
267,75,-511.0806973201102,0.2640350067113025
268,168,-234.884942432376,0.26272139971273883
269,76,-487.5144787235798,0.26141432807237697
270,75,-421.20948056391387,0.260113759275997
271,85,-446.1836743895892,0.25881966097114134
272,74,-542.4207203157099,0.2575320009663098
273,159,-108.40590004791734,0.256250747230159
274,69,-461.0191696774416,0.2549758678907055
275,67,-357.00070466265504,0.2537073312345328
276,80,-426.69306620282117,0.2524451057060028
277,87,-487.17199283675103,0.2511891599064705
278,128,-485.3793251987695,0.24993946259350303
279,80,-460.8516743717351,0.24869598268010254
280,67,-314.4939568107843,0.2474586892339329
281,73,-497.87385117193634,0.24622755147655018
282,72,-535.095565035368,0.24500253878263703
283,71,-543.5610274263245,0.24378362067924086
284,63,-405.35767841048994,0.2425707668450158
285,55,-222.1929523997369,0.24136394710946849
286,93,-542.2785815739065,0.24016313145220747
287,75,-430.5505408948009,0.23896829000219652
288,87,-415.8232771284439,0.23777939303701148
289,61,-174.6748996142829,0.236596410982101
290,134,-164.05104004179685,0.23541931441005076
291,92,-513.6271553729526,0.23424807403985154
292,77,-327.85392687124806,0.2330826607361707
293,86,-423.44878172291686,0.23192304550862758
294,70,-240.33427024622057,0.23076919951107225
295,61,-268.20682389520346,0.22962109404086795
296,76,-462.26950642758277,0.2284787005381771
297,58,-272.070108583723,0.22734199058525087
298,69,-373.73647440422667,0.22621093590572228
299,60,-200.9904932418517,0.2250855083639028
300,89,-281.21776069597945,0.2239656799640824
301,69,-278.449987358233,0.22285142284983325
302,97,-266.7599004053652,0.2217427093033167
303,75,-174.7096711903843,0.22063951174459373
304,142,-18.235471607053412,0.21954180273093907
305,55,-170.56202768189513,0.2184495549561583
306,128,-267.192848671437,0.2173627412499088
307,68,-165.98852387347785,0.2162813345770237
308,63,-248.6477034331019,0.21520530803683952
309,111,-53.509051236457125,0.2141346348625269
310,60,-149.55753266782236,0.2130692884204248
311,66,-118.91399787131684,0.21200924220937795
312,82,-211.35495744067651,0.21095446986007757
313,54,-175.55339658221635,0.20990494513440555
314,86,-100.99738328538534,0.20886064192478165
315,63,-29.884670012346277,0.2078215342535141
316,53,-82.26938865111669,0.20678759627215335
317,63,-167.0134429947509,0.2057588022608491
318,55,-113.0329268160807,0.20473512662771057
319,81,-328.8507262783713,0.20371654390816973
320,95,-186.36581594709082,0.202703028764348
321,89,-143.40781096833632,0.2016945559844259
322,74,-145.81416852778284,0.20069110048201586
323,67,-109.80257179520804,0.19969263729553818
324,61,-120.58995335206885,0.19869914158760021
325,71,-77.12646665454409,0.19771058864437835
326,77,-162.24383489904992,0.19672695387500336
327,85,-132.8116979131296,0.19574821281094865
328,69,-130.8669819096025,0.19477434110542155
329,63,-105.6664130273122,0.1938053145327578
330,84,-3.9458262123629027,0.19284110898781873
331,88,-19.128842611369578,0.1918817004853918
332,59,-144.74765359071,0.19092706515959385
333,91,-135.444294813622,0.18997717926327748
334,93,-130.2568886067672,0.1890320191674403
335,55,-129.24071309048088,0.18809156136063715
336,59,-33.47818867022082,0.1871557824483952
337,99,-93.4359493159933,0.18622465915263206
338,56,-91.25108969232556,0.1852981683110767
339,58,-116.40706505214423,0.18437628687669325
340,68,35.44590637650413,0.18345899191710774
341,66,-125.94831237691076,0.18254626061403756
342,76,-127.8299108154271,0.18163807026272397
343,79,-147.37181034190587,0.18073439827136714
344,94,-173.30568850194766,0.17983522216056433
345,55,-64.09563683597094,0.1789405195627506
346,65,-137.40579230700283,0.17805026822164238
347,58,-106.85959708507731,0.177164445991684
348,74,-135.6826485509672,0.17628303083749652
349,99,-118.252433666713,0.17540600083332988
350,69,-60.68127710739044,0.17453333416251732
351,51,-92.18521763738848,0.17366500911693267
352,90,-126.01382184196987,0.17280100409645044
